record_key,openalex_id,doi,title,publication_year,cited_by_count,journal,authors,abstract_text,concepts,n_pattern_groups,n_high_specificity_groups,has_high_specificity,hit_groups,supporting_queries,precision_gate_pass,recency_score,citation_score,deep_relevance_score
https://doi.org/10.1007/s10265-021-01320-5,https://openalex.org/W3172335609,https://doi.org/10.1007/s10265-021-01320-5,Consistent scaling of whole-shoot respiration between Moso bamboo (Phyllostachys pubescens) and trees,2021,10,Journal of Plant Research,Mofei Wang; Shigeta Mori; Yoko Kurosawa; Juan Pedro Ferrio; Keiko Yamaji; Kohei Koyama,"Both Moso bamboo (Phyllostachys pubescens) and tree forests have a large biomass; they are considered to play an important role in ecosystem carbon budgets. The scaling relationship between individual whole-shoot (i.e., aboveground parts) respiration and whole-shoot mass provides a clue for comparing the carbon budgets of Moso bamboo and tree forests. However, nobody has empirically demonstrated whether there is a difference between these forest types in the whole-shoot scaling relationship. We developed whole-shoot chambers and measured the shoot respiration of 58 individual mature bamboo shoots from the smallest to the largest in a Moso bamboo forest, and then compared them with that of 254 tree shoots previously measured. For 30 bamboo shoots, we measured the respiration rate of leaves, branches, and culms. We found that the scaling exponent of whole-shoot respiration of bamboo fitted by a simple power function on a log-log scale was 0.843 (95 % CI 0.797-0.885), which was consistent with that of trees, 0.826 (95 % CI 0.799-0.851), but higher than 3/4, the value typifying the Kleiber's rule. The respiration rates of leaves, branches, and culms at the whole-shoot level were proportional to their mass, revealing a constant mean mass-specific respiration of 1.19, 0.224, and 0.0978 µmol CO<sub>2</sub> kg<sup>- 1</sup> s<sup>- 1</sup>, respectively. These constant values suggest common traits of organs among physiologically integrated ramets within a genet. Additionally, the larger the shoots, the smaller the allocation of organ mass to the metabolically active leaves, and the larger the allocation to the metabolically inactive culms. Therefore, these shifts in shoot-mass partitioning to leaves and culms caused a negative metabolic scaling of Moso bamboo shoots. The observed convergent metabolic scaling of Moso bamboo and trees may facilitate comparisons of the ecosystem carbon budgets of Moso bamboo and tree forests.",Shoot; Phyllostachys; Bamboo; Biology; Respiration; Bamboo shoot; Botany; Biomass (ecology); Horticulture; Agronomy,3,0,FALSE,metabolic_scaling; methods_signal; power_law,Q01; Q02; Q04,FALSE,31,2.3978952727983707,12.32789527279837
https://doi.org/10.1073/pnas.1900492116,https://openalex.org/W2979688413,https://doi.org/10.1073/pnas.1900492116,Linking scaling laws across eukaryotes,2019,173,Proceedings of the National Academy of Sciences,Ian Hatton; Andrew P. Dobson; David Štorch; Eric D. Galbraith; Michel Loreau,"Scaling laws relating body mass to species characteristics are among the most universal quantitative patterns in biology. Within major taxonomic groups, the 4 key ecological variables of metabolism, abundance, growth, and mortality are often well described by power laws with exponents near 3/4 or related to that value, a commonality often attributed to biophysical constraints on metabolism. However, metabolic scaling theories remain widely debated, and the links among the 4 variables have never been formally tested across the full domain of eukaryote life, to which prevailing theory applies. Here we present datasets of unprecedented scope to examine these 4 scaling laws across all eukaryotes and link them to test whether their combinations support theoretical expectations. We find that metabolism and abundance scale with body size in a remarkably reciprocal fashion, with exponents near ±3/4 within groups, as expected from metabolic theory, but with exponents near ±1 across all groups. This reciprocal scaling supports ""energetic equivalence"" across eukaryotes, which hypothesizes that the partitioning of energy in space across species does not vary significantly with body size. In contrast, growth and mortality rates scale similarly both within and across groups, with exponents of ±1/4. These findings are inconsistent with a metabolic basis for growth and mortality scaling across eukaryotes. We propose that rather than limiting growth, metabolism adjusts to the needs of growth within major groups, and that growth dynamics may offer a viable theoretical basis to biological scaling.",Scaling; Reciprocal; Scaling law; Equivalence (formal languages); Ecology; Biology; Statistical physics; Abundance (ecology); Evolutionary biology; Mathematics,2,0,FALSE,metabolic_scaling; power_law,Q08,FALSE,29,5.159055299214529,12.02905529921453
https://doi.org/10.1641/0006-3568(2006)56[325:tplinu]2.0.co;2,https://openalex.org/W2143117770,https://doi.org/10.1641/0006-3568(2006)56[325:tplinu]2.0.co;2,"The 3/4-Power Law Is Not Universal: Evolution of Isometric, Ontogenetic Metabolic Scaling in Pelagic Animals",2006,213,BioScience,Douglas S. Glazier,"It is commonly assumed that metabolic rate scales with body mass to the 3/4 power. However, during ontogeny, the metabolic rate of pelagic (openwater) animals often scales isometrically (in a 1:1 proportion) with body mass. This is a robust pattern, occurring in five different phyla. It can also be seen by comparing pelagic and benthic (bottom-dwelling) species within phyla, as well as pelagic larvae and benthic adults within species. High energy costs of continual swimming to stay afloat or of rapid rates of growth and reproduction in response to high levels of mortality (predation) in open water, or both, may contribute to the isometric or nearly isometric metabolic scaling of pelagic animals. The observation of isometric scaling and other kinds of metabolic scaling both within and among species suggests that metabolic scaling is not simply the result of physical constraints, but is an evolutionarily malleable trait that responds to ecological circumstances.",Pelagic zone; Isometric exercise; Benthic zone; Biology; Ecology; Scaling; Allometry; Predation; Zoology; Physiology,2,0,FALSE,metabolic_scaling; power_law,Q08,FALSE,16,5.365976015021851,11.84597601502185
https://doi.org/10.1038/ncomms15211,https://openalex.org/W2616016003,https://doi.org/10.1038/ncomms15211,An invariability-area relationship sheds new light on the spatial scaling of ecological stability,2017,100,Nature Communications,Shaopeng Wang; Michel Loreau; Jean‐François Arnoldi; Jingyun Fang; K. Abd Rahman; Shengli Tao; Claire de Mazancourt,"The spatial scaling of stability is key to understanding ecological sustainability across scales and the sensitivity of ecosystems to habitat destruction. Here we propose the invariability-area relationship (IAR) as a novel approach to investigate the spatial scaling of stability. The shape and slope of IAR are largely determined by patterns of spatial synchrony across scales. When synchrony decays exponentially with distance, IARs exhibit three phases, characterized by steeper increases in invariability at both small and large scales. Such triphasic IARs are observed for primary productivity from plot to continental scales. When synchrony decays as a power law with distance, IARs are quasilinear on a log-log scale. Such quasilinear IARs are observed for North American bird biomass at both species and community levels. The IAR provides a quantitative tool to predict the effects of habitat loss on population and ecosystem stability and to detect regime shifts in spatial ecological systems, which are goals of relevance to conservation and policy.",Scaling; Ecosystem; Spatial ecology; Ecology; Habitat; Biomass (ecology); Environmental science; Stability (learning theory); Common spatial pattern; Spatial heterogeneity,2,0,FALSE,methods_signal; power_law,Q01,FALSE,27,4.61512051684126,11.42512051684126
https://doi.org/10.1111/nph.14591,https://openalex.org/W2615158176,https://doi.org/10.1111/nph.14591,Nitrogen and phosphorus availabilities interact to modulate leaf trait scaling relationships across six plant functional types in a controlled‐environment study,2017,69,New Phytologist,Kristine Y. Crous; Odhran S. O’Sullivan; Joana Zaragoza‐Castells; Keith J. Bloomfield; Ana Clarissa Alves Negrini; Patrick Meir; Matthew H. Turnbull; Kevin L. Griffin,"Nitrogen (N) and phosphorus (P) have key roles in leaf metabolism, resulting in a strong coupling of chemical composition traits to metabolic rates in field-based studies. However, in such studies, it is difficult to disentangle the effects of nutrient supply per se on trait-trait relationships. Our study assessed how high and low N (5 mM and 0.4 mM, respectively) and P (1 mM and 2 μM, respectively) supply in 37 species from six plant functional types (PTFs) affected photosynthesis (A) and respiration (R) (in darkness and light) in a controlled environment. Low P supply increased scaling exponents (slopes) of area-based log-log A-N or R-N relationships when N supply was not limiting, whereas there was no P effect under low N supply. By contrast, scaling exponents of A-P and R-P relationships were altered by P and N supply. Neither R : A nor light inhibition of leaf R was affected by nutrient supply. Light inhibition was 26% across nutrient treatments; herbaceous species exhibited a lower degree of light inhibition than woody species. Because N and P supply modulates leaf trait-trait relationships, the next generation of terrestrial biosphere models may need to consider how limitations in N and P availability affect trait-trait relationships when predicting carbon exchange.",Trait; Nutrient; Herbaceous plant; Biology; Phosphorus; Photosynthesis; Respiration; Nitrogen; Ecology; Botany,2,0,FALSE,methods_signal; power_law,Q03,FALSE,27,4.248495242049359,11.058495242049359
https://doi.org/10.1111/j.1365-2435.2012.01981.x,https://openalex.org/W2099813832,https://doi.org/10.1111/j.1365-2435.2012.01981.x,Testing metabolic theory with models of tree growth that include light competition,2012,45,Functional Ecology,Nadja Rüger; Richard Condit,"1. Metabolic scaling theory predicts that diameter growth rates of tree species are related to tree diameter by a universal scaling law. This model has been criticised because it ignores the influence of competition for resources such as light on the scaling of demographic rates with size. 2. We here test whether scaling exponents of abundant tropical tree species comply with the prediction of metabolic scaling theory and evaluate whether the scaling of growth with size depends on light availability. Light reaching each individual tree was estimated from yearly vertical censuses of canopy density, and a hierarchical Bayesian approach allowed quantifying confidence intervals for scaling exponents and accounting for different sources of error. 3. We found no universal scaling relationship, and 50–70% of the species had scaling exponents that significantly differed from the predicted value of 1/3. As would be expected if competition for light were important, scaling exponents were >1/3 for the majority of species when all trees were combined. However, the community average of scaling exponents was not significantly different from the predicted value of 1/3 when only considering individuals that grew under high-light conditions. 4. These results support the hypothesis that the prediction of metabolic ecology for the scaling of tree growth with size is only valid when competition for light is unimportant.",Scaling; Competition (biology); Tree (set theory); Biology; Ecology; Allometry; Statistics; Statistical physics; Mathematics; Physics,2,0,FALSE,metabolic_scaling; power_law,Q01; Q09,FALSE,22,3.828641396489095,10.488641396489095
https://doi.org/10.1111/j.1469-8137.1991.tb00035.x,https://openalex.org/W2168453107,https://doi.org/10.1111/j.1469-8137.1991.tb00035.x,The hydraulic architecture of trees and other woody plants,1991,1703,New Phytologist,Melvin T. Tyree; Frank W. Ewers,"summary In this paper, we have reviewed how the hydraulic design of trees influences the movement of water from roots to leaves. The hydraulic architecture of trees can limit their water relations, gas exchange throughout the crown of trees, the distribution of trees over different habitats and, perhaps, even the maximum height that a particular species can achieve. Parameters of particular importance include: (1) the vulnerability of stems to drought‐induced cavitation events because cavitation reduces the hydraulic conductance of stems, (2) the leaf specific conductivity‐of stems because it determines the pressure gradients and most negative water potentials needed to sustain evaporation from leaves, (3) the water storage capacity of tissues because this might determine the ability of trees to survive long drought periods. All of these parameters are determined by the structure and function of anatomical components of trees. Some of the ecological and physiological trade‐offs of specific structures are discussed. CONTENTS Summary I. Introduction 346 II. Water flow through pipes and the unit pipe model 347 III. Parameters and concepts to describe hydraulic architecture 349 IV. Patterns of hydraulic architecture in woody plants 350 V. Vulnerability to cavitation: relation to hydraulic architecture and drought resistance 354 VI. Dynamic and steady state models of water flow in trees 355 VII. The segmentation hypothesis 357 References 359",Cavitation; Xylem; Environmental science; Water transport; Hydraulic resistance; Woody plant; Hydrology (agriculture); Hydraulic conductivity; Water flow; Ecology,1,1,TRUE,pipe_model,Q07,FALSE,1,7.440733707389261,10.470733707389261
https://doi.org/10.1111/j.1365-2745.2006.01176.x,https://openalex.org/W2096984801,https://doi.org/10.1111/j.1365-2745.2006.01176.x,Quantitative estimation of phenotypic plasticity: bridging the gap between the evolutionary concept and its ecological applications,2006,1001,Journal of Ecology,Fernando Valladares; David Sánchez‐Gómez; Miguel Á. Zavala,"Summary Global change and emerging concepts in ecology and evolution are leading to a growing interest in phenotypic plasticity (PP), the environmentally contingent trait expression observed in a given genotype. The need to quantify PP in a simple manner in comparative ecological studies has resulted in the prevalence of various indices instead of the classic approaches, i.e. a comparison of slopes in the norms of reactions (trait vs. environment plots). The objectives of this study were: (i) to review the most common methods for quantitative estimation of PP; (ii) to apply them to a specific case study of growth and shoot–root allocation responses to irradiance in seedlings of four woody species grown at 1%, 6%, 20% and 100% full sunlight; and (iii) to propose new methods of estimating PP. The 17 different plasticity indices analysed rendered disparate results, with cross‐overs in species PP rankings. Statistical comparisons of PP among species were not possible with most of the indices due to the lack of confidence intervals. The non‐linear responses of the traits made the use of the slope of the reaction norm to quantify PP unrealistic, and raised awareness on values derived from studies that consider just two environments. We propose an alternative approach to quantify PP based on phenotypic distances among individuals of a given species exposed to different environments, which is summarized in a relative distance plasticity index (RDPI) that allows for statistical comparisons of PP between species (or populations within species). RDPI was significantly correlated with 12 out of the 17 PP indices analysed. An index including the environmental range leading to the different phenotypes (environmentally standardized plasticity index, ESPI), and thus expressing plasticity per unit of environmental change, is also proposed. The new indexes can statistically segregate and unambiguously rank species according to their PP, which can foster a better understanding of plant ecology and evolution, particularly when common protocols are used by different investigators.",Phenotypic plasticity; Trait; Biology; Ecology; Estimation; Statistics; Mathematics; Computer science; Economics; Management,1,1,TRUE,root_shoot,Q03,FALSE,16,6.90975328164481,10.38975328164481
https://doi.org/10.1038/s41467-018-08039-3,https://openalex.org/W2909460250,https://doi.org/10.1038/s41467-018-08039-3,Energetic equivalence underpins the size structure of tree and phytoplankton communities,2019,32,Nature Communications,Daniel M. Perkins; Andréa Perna; Rita Adrian; Pedro Cermeño; Ursula Gaedke; María Huete‐Ortega; Ethan P. White; Gabriel Yvon‐Durocher,"The size structure of autotroph communities - the relative abundance of small vs. large individuals - shapes the functioning of ecosystems. Whether common mechanisms underpin the size structure of unicellular and multicellular autotrophs is, however, unknown. Using a global data compilation, we show that individual body masses in tree and phytoplankton communities follow power-law distributions and that the average exponents of these individual size distributions (ISD) differ. Phytoplankton communities are characterized by an average ISD exponent consistent with three-quarter-power scaling of metabolism with body mass and equivalence in energy use among mass classes. Tree communities deviate from this pattern in a manner consistent with equivalence in energy use among diameter size classes. Our findings suggest that whilst universal metabolic constraints ultimately underlie the emergent size structure of autotroph communities, divergent aspects of body size (volumetric vs. linear dimensions) shape the ecological outcome of metabolic scaling in forest vs. pelagic ecosystems.",Autotroph; Community structure; Equivalence (formal languages); Ecosystem; Phytoplankton; Scaling; Ecology; Biology; Abundance (ecology); Tree (set theory),2,0,FALSE,metabolic_scaling; power_law,Q08,FALSE,29,3.4965075614664802,10.36650756146648
https://doi.org/10.1111/j.0022-0477.2004.00884.x,https://openalex.org/W2131516675,https://doi.org/10.1111/j.0022-0477.2004.00884.x,Seedling survival and seed size: a synthesis of the literature,2004,988,Journal of Ecology,Angela T. Moles; Mark Westoby,"Summary Large‐seeded species have long been known to have higher survivorship during establishment than small‐seeded species. Here, we assessed the size of this advantage by compiling published data on survival through seedling emergence, seedling establishment and sapling establishment. We found no relationship between seed mass and survival through the transition from viable seed in or on the soil to newly emerged seedlings ( P = 0.47, n = 33 species). Synthesis of data from experimental studies on the advantages of large‐seeded species establishing under particular hazards (such as shade, drought or herbivory) confirmed that seedlings of large‐seeded species perform better than those of small‐seeded species in most situations. However, the magnitude of this advantage was not sufficient to counterbalance the greater number of seeds produced by small‐seeded species m −2 of canopy outline year −1 . Synthesis of data from field studies of populations under natural conditions also showed that large‐seeded species have higher survival through early seedling establishment than small‐seeded species ( P = 0.006, n = 112 species). However, the magnitude of this advantage would only be sufficient to counterbalance the greater number of seeds produced by small‐seeded species m −2 of canopy outline year −1 if mortality continued at the same rate for some time. The time required for a species with 10‐fold larger seeds to recoup the advantage gained by a smaller‐seeded species during seed production ranged from 8.8 weeks for the smallest seeded species in the data set, up to an implausible 4.2 years for the largest‐seeded species. Thus, while large‐seeded species do have a survival advantage over small‐seeded species during seedling establishment, the available evidence suggests that advantages must also accrue during other stages in the life cycle. One possibility is that the greater seed production of small‐seeded species (m −2 of canopy outline year −1 ) is partly offset by larger canopies and longer reproductive life spans in large‐seeded species.",Seedling; Biology; Canopy; Survivorship curve; Seeding; Sowing; Agronomy; Herbivore; Botany; Genetics,1,0,FALSE,empirical_signal,Q03; Q10,FALSE,14,6.8966943316227125,10.316694331622713
